# METHOD: DER | PAYLOAD: 800 | PACKETS: 2000 | FREQ_DEV: 50000.0
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	4.96831875e-01	1.00000000e+00	8.83491519e-02	3.79731991e+02
1.00000000e+00	4.91191250e-01	1.00000000e+00	7.95665204e-02	3.82043836e+02
2.00000000e+00	4.75840625e-01	1.00000000e+00	6.97447930e-02	3.77750612e+02
3.00000000e+00	4.39145000e-01	1.00000000e+00	6.00694902e-02	3.56715684e+02
4.00000000e+00	3.81518750e-01	1.00000000e+00	4.61643499e-02	3.22504361e+02
5.00000000e+00	3.00451875e-01	1.00000000e+00	3.56425207e-02	2.82642262e+02
6.00000000e+00	2.20328125e-01	1.00000000e+00	2.48968320e-02	2.37399057e+02
7.00000000e+00	1.70452500e-01	1.00000000e+00	1.82839705e-02	1.92405009e+02
8.00000000e+00	1.24081250e-01	1.00000000e+00	1.36414333e-02	1.66983198e+02
9.00000000e+00	9.59681250e-02	9.99500000e-01	8.30820781e-03	1.54838006e+02
1.00000000e+01	7.21106250e-02	9.62500000e-01	7.17140287e-03	1.39766027e+02
1.10000000e+01	5.65893750e-02	7.37500000e-01	6.22638830e-03	1.13978972e+02
1.20000000e+01	4.87587500e-02	4.68500000e-01	5.43200085e-03	1.05325226e+02
1.30000000e+01	3.18006250e-02	2.75000000e-01	4.75784185e-03	8.78253009e+01
1.40000000e+01	2.22750000e-02	1.68000000e-01	4.18101573e-03	7.35439417e+01
1.50000000e+01	1.43831250e-02	9.05000000e-02	3.68400401e-03	5.49621640e+01
1.60000000e+01	6.88937500e-03	4.10000000e-02	3.25320914e-03	4.56863783e+01
1.70000000e+01	1.68000000e-03	1.10000000e-02	2.87793253e-03	1.85068098e+01
1.80000000e+01	8.81250000e-05	1.50000000e-03	2.54964554e-03	8.63767185e-02
1.90000000e+01	0.00000000e+00	0.00000000e+00	2.26146281e-03	8.30097886e-02
2.00000000e+01	0.00000000e+00	0.00000000e+00	2.00775769e-03	8.31038507e-02
2.10000000e+01	0.00000000e+00	0.00000000e+00	1.78387902e-03	8.36193010e-02
2.20000000e+01	0.00000000e+00	0.00000000e+00	1.58594074e-03	8.35258194e-02
2.30000000e+01	0.00000000e+00	0.00000000e+00	1.41066424e-03	8.36193010e-02
2.40000000e+01	0.00000000e+00	0.00000000e+00	1.25525920e-03	8.37126783e-02
2.50000000e+01	0.00000000e+00	0.00000000e+00	1.11733260e-03	8.37126783e-02
2.60000000e+01	0.00000000e+00	0.00000000e+00	9.94818512e-04	8.38059515e-02
2.70000000e+01	0.00000000e+00	0.00000000e+00	8.85923297e-04	8.38525492e-02
2.80000000e+01	0.00000000e+00	0.00000000e+00	7.89082263e-04	8.38059515e-02
2.90000000e+01	0.00000000e+00	0.00000000e+00	7.02925030e-04	8.38059515e-02
