# METHOD: GARDNER | PAYLOAD: 800 | PACKETS: 2000 | FREQ_DEV: 50000.0
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	4.95538125e-01	1.00000000e+00	8.83491519e-02	3.89000292e+02
1.00000000e+00	4.85045625e-01	1.00000000e+00	7.95665204e-02	3.79958760e+02
2.00000000e+00	4.59166875e-01	1.00000000e+00	6.97447930e-02	3.68694894e+02
3.00000000e+00	4.02908750e-01	1.00000000e+00	6.00694902e-02	3.31991608e+02
4.00000000e+00	2.95241875e-01	1.00000000e+00	4.61643499e-02	2.72147584e+02
5.00000000e+00	1.81675625e-01	1.00000000e+00	3.56425207e-02	1.91708044e+02
6.00000000e+00	9.45568750e-02	1.00000000e+00	2.48968320e-02	1.17102573e+02
7.00000000e+00	4.57962500e-02	1.00000000e+00	1.82839705e-02	5.38266384e+01
8.00000000e+00	2.13750000e-02	1.00000000e+00	1.36414333e-02	1.98756132e+01
9.00000000e+00	8.70062500e-03	9.99500000e-01	8.30820781e-03	0.00000000e+00
1.00000000e+01	3.00625000e-03	9.01000000e-01	7.17140287e-03	0.00000000e+00
1.10000000e+01	8.06875000e-04	4.73000000e-01	6.22638830e-03	0.00000000e+00
1.20000000e+01	1.62500000e-04	1.24000000e-01	5.43200085e-03	0.00000000e+00
1.30000000e+01	1.87500000e-05	1.50000000e-02	4.75784185e-03	0.00000000e+00
1.40000000e+01	1.87500000e-06	1.50000000e-03	4.18101573e-03	0.00000000e+00
1.50000000e+01	0.00000000e+00	0.00000000e+00	3.68400401e-03	0.00000000e+00
1.60000000e+01	0.00000000e+00	0.00000000e+00	3.25320914e-03	0.00000000e+00
1.70000000e+01	0.00000000e+00	0.00000000e+00	2.87793253e-03	0.00000000e+00
1.80000000e+01	0.00000000e+00	0.00000000e+00	2.54964554e-03	0.00000000e+00
1.90000000e+01	0.00000000e+00	0.00000000e+00	2.26146281e-03	0.00000000e+00
2.00000000e+01	0.00000000e+00	0.00000000e+00	2.00775769e-03	0.00000000e+00
2.10000000e+01	0.00000000e+00	0.00000000e+00	1.78387902e-03	0.00000000e+00
2.20000000e+01	0.00000000e+00	0.00000000e+00	1.58594074e-03	0.00000000e+00
2.30000000e+01	0.00000000e+00	0.00000000e+00	1.41066424e-03	0.00000000e+00
2.40000000e+01	0.00000000e+00	0.00000000e+00	1.25525920e-03	0.00000000e+00
2.50000000e+01	0.00000000e+00	0.00000000e+00	1.11733260e-03	0.00000000e+00
2.60000000e+01	0.00000000e+00	0.00000000e+00	9.94818512e-04	0.00000000e+00
2.70000000e+01	0.00000000e+00	0.00000000e+00	8.85923297e-04	0.00000000e+00
2.80000000e+01	0.00000000e+00	0.00000000e+00	7.89082263e-04	0.00000000e+00
2.90000000e+01	0.00000000e+00	0.00000000e+00	7.02925030e-04	0.00000000e+00
