# METHOD: ML | PAYLOAD: 800 | PACKETS: 1000 | FREQ_DEV: 50000.0 | PPD: True
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
1.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
2.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
3.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
4.00000000e+00	4.99653750e-01	1.00000000e+00	nan	nan
5.00000000e+00	4.99628750e-01	1.00000000e+00	nan	nan
6.00000000e+00	4.97473750e-01	1.00000000e+00	nan	nan
7.00000000e+00	4.88186250e-01	1.00000000e+00	nan	nan
8.00000000e+00	4.52375000e-01	1.00000000e+00	nan	nan
9.00000000e+00	3.58925000e-01	1.00000000e+00	nan	nan
1.00000000e+01	2.22423750e-01	9.69000000e-01	nan	nan
1.10000000e+01	1.07868750e-01	7.36000000e-01	nan	nan
1.20000000e+01	4.23650000e-02	3.90000000e-01	nan	nan
1.30000000e+01	3.81650000e-02	2.61000000e-01	0.00000000e+00	9.45193820e+01
1.40000000e+01	6.34937500e-02	4.02000000e-01	0.00000000e+00	1.15049143e+02
1.50000000e+01	6.08675000e-02	4.30000000e-01	0.00000000e+00	1.32034580e+02
1.60000000e+01	2.83300000e-02	2.16000000e-01	0.00000000e+00	8.39694957e+01
1.70000000e+01	2.94750000e-03	4.20000000e-02	0.00000000e+00	2.53175970e+01
1.80000000e+01	3.25000000e-05	4.00000000e-03	0.00000000e+00	9.01387819e-02
1.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.10092587e-02
2.00000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.15858444e-02
2.10000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.12019088e-02
2.20000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.09127617e-02
2.30000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.02340327e-02
2.40000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.99413848e-02
2.50000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.92543374e-02
2.60000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.89580585e-02
2.70000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.86606636e-02
2.80000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.84617741e-02
2.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.84617741e-02
