# METHOD: ML | PAYLOAD: 800 | PACKETS: 2000 | FREQ_DEV: 25000.0 | PPD: False
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	3.00027500e-01	1.00000000e+00	0.00000000e+00	0.00000000e+00
1.00000000e+00	2.63084375e-01	1.00000000e+00	0.00000000e+00	0.00000000e+00
2.00000000e+00	2.22564375e-01	1.00000000e+00	0.00000000e+00	0.00000000e+00
3.00000000e+00	1.80600625e-01	1.00000000e+00	0.00000000e+00	0.00000000e+00
4.00000000e+00	1.38871875e-01	1.00000000e+00	0.00000000e+00	0.00000000e+00
5.00000000e+00	9.96818750e-02	1.00000000e+00	0.00000000e+00	0.00000000e+00
6.00000000e+00	6.58400000e-02	1.00000000e+00	0.00000000e+00	0.00000000e+00
7.00000000e+00	3.88937500e-02	1.00000000e+00	0.00000000e+00	0.00000000e+00
8.00000000e+00	2.00600000e-02	1.00000000e+00	0.00000000e+00	0.00000000e+00
9.00000000e+00	8.80437500e-03	9.98000000e-01	0.00000000e+00	0.00000000e+00
1.00000000e+01	3.08250000e-03	9.22500000e-01	0.00000000e+00	0.00000000e+00
1.10000000e+01	8.39375000e-04	4.88000000e-01	0.00000000e+00	0.00000000e+00
1.20000000e+01	1.51250000e-04	1.13500000e-01	0.00000000e+00	0.00000000e+00
1.30000000e+01	1.87500000e-05	1.45000000e-02	0.00000000e+00	0.00000000e+00
1.40000000e+01	6.25000000e-07	5.00000000e-04	0.00000000e+00	0.00000000e+00
1.50000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.60000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.70000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.80000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.00000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.10000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.20000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.30000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.40000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.50000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.60000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.70000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.80000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
