# PAYLOAD: 800 | PACKETS: 200 | PPD: True
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
1.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
2.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
3.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
4.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
5.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
6.00000000e+00	5.00000000e-01	1.00000000e+00	nan	nan
7.00000000e+00	4.91362500e-01	1.00000000e+00	nan	nan
8.00000000e+00	4.36306250e-01	1.00000000e+00	nan	nan
9.00000000e+00	3.12912500e-01	1.00000000e+00	nan	nan
1.00000000e+01	1.50743750e-01	9.55000000e-01	nan	nan
1.10000000e+01	4.97937500e-02	6.40000000e-01	nan	nan
1.20000000e+01	4.60062500e-02	3.55000000e-01	0.00000000e+00	1.24135263e+02
1.30000000e+01	5.13250000e-02	3.80000000e-01	0.00000000e+00	1.14053423e+02
1.40000000e+01	6.50500000e-02	4.70000000e-01	0.00000000e+00	1.44641248e+02
1.50000000e+01	2.89125000e-02	2.65000000e-01	0.00000000e+00	7.52877221e+01
1.60000000e+01	7.56250000e-03	8.50000000e-02	0.00000000e+00	1.66699955e+01
1.70000000e+01	2.50000000e-04	1.50000000e-02	0.00000000e+00	1.09687055e-01
1.80000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.75000000e-02
1.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.79452955e-02
2.00000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.75000000e-02
2.10000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.70524267e-02
2.20000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.61503047e-02
2.30000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.47791248e-02
2.40000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.47791248e-02
2.50000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.47791248e-02
2.60000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.38525492e-02
2.70000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.38525492e-02
2.80000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.38525492e-02
2.90000000e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.38525492e-02
