# PAYLOAD: 800 | PACKETS: 200 | PPD: False
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto
0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.83120630e+02
1.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.95782454e+02
2.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.86537084e+02
3.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.63886929e+02
4.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.43114074e+02
5.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.65973511e+02
6.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.78956114e+02
7.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.34173792e+02
8.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.95703044e+02
9.00000000e+00	2.81187500e-02	2.80000000e-01	0.00000000e+00	1.82667609e+02
1.00000000e+01	6.11250000e-02	9.35000000e-01	0.00000000e+00	1.55577749e+02
1.10000000e+01	5.34625000e-02	6.50000000e-01	0.00000000e+00	1.45686443e+02
1.20000000e+01	4.15062500e-02	4.15000000e-01	0.00000000e+00	1.02374988e+02
1.30000000e+01	4.15562500e-02	3.00000000e-01	0.00000000e+00	9.93137669e+01
1.40000000e+01	3.58437500e-02	2.45000000e-01	0.00000000e+00	9.56087891e+01
1.50000000e+01	3.20437500e-02	2.20000000e-01	0.00000000e+00	6.90753976e+01
1.60000000e+01	3.06687500e-02	2.00000000e-01	0.00000000e+00	6.87881570e+01
1.70000000e+01	2.94375000e-02	1.80000000e-01	0.00000000e+00	6.87881570e+01
1.80000000e+01	2.62375000e-02	1.75000000e-01	0.00000000e+00	5.46752279e+01
1.90000000e+01	2.53562500e-02	1.70000000e-01	0.00000000e+00	6.32625525e+01
2.00000000e+01	2.44812500e-02	1.50000000e-01	0.00000000e+00	7.35870270e+01
2.10000000e+01	2.23375000e-02	1.40000000e-01	0.00000000e+00	4.62590591e+01
2.20000000e+01	2.18437500e-02	1.15000000e-01	0.00000000e+00	6.23899876e+01
2.30000000e+01	1.53687500e-02	1.05000000e-01	0.00000000e+00	5.38183112e+01
2.40000000e+01	1.46625000e-02	1.00000000e-01	0.00000000e+00	5.51309407e+01
2.50000000e+01	1.22625000e-02	7.00000000e-02	0.00000000e+00	2.86347800e+01
2.60000000e+01	9.60625000e-03	6.00000000e-02	0.00000000e+00	2.30380239e+01
2.70000000e+01	9.13125000e-03	6.00000000e-02	0.00000000e+00	2.30380256e+01
2.80000000e+01	8.70625000e-03	5.00000000e-02	0.00000000e+00	2.30380256e+01
2.90000000e+01	8.40000000e-03	5.00000000e-02	0.00000000e+00	2.30380256e+01
